RESORT,ORDER_BY,NEXUS_ROOM_TYPE
04108,4,"QQ,HOZ"
46005,2,"K,WFG"
78013,7,"D,URL"
14119,3,"K,GXG"
71023,1,"K,QSG"
71023,3,"SK,KPN"
10308,4,"K,AIL"
06184,2,"K,BBN"
53012,1,"QQ,JVO"
03099,1,"K,HCI"
05711,8,"QQ,BAQ"
29071,1,"QQ,NCG"
29071,2,"K,NCO"
53012,3,"K,JVO"
29069,4,"K,HHR"
10308,14,"QQ,AIO"
13060,10,"K,CQC"
95156,4,"K,KSF"
10308,12,"K,AIW"
93732,3,"QTT,DEE"
93790,1,"T,CLA"
93790,2,"Q,SUP"
93790,3,"TT,SUP"
33175,2,"QQ,QCJ"
83852,4,"TT,NXE"
83852,5,"Q,NFM"
33175,3,"SK,QCJ"
44607,5,"QQ,BJP"
44607,7,"QQ,BAG"
50144,6,"SQQ,LVF"
33150,1,"Q,URJ"
50141,7,"QQ,CQC"
95178,1,"T,WJU"
95178,3,"T,WKD"
44693,7,"K,BJP"
98080,7,"QT,APH"
10308,2,"QQ,AIM"
21041,6,"DD,HRS"
25090,4,"K,NIH"
05622,3,"K,BZA"
50141,5,"SK,CEC"
97384,6,"QTT,UUT"
50146,1,"K,VGZ"
10308,6,"SQQ,AIK"
48129,4,"SK,LXW"
48129,6,"SK,LXX"
93855,3,"Q,XJT"
83796,5,"D,NDX"
95380,5,"TT,SCX"
93388,5,"Q,NJU"
43154,5,"QQ,BAQ"
43154,6,"QQ,BAM"
44673,3,"SK,QCH"
39069,14,"V2,IVX"
18108,1,"K,BIW"
16032,4,"Q,CIC"
44559,1,"K,HRF"
93640,4,"K,SJU"
18051,1,"K,HNA"
39069,15,"V2,IXK"
18108,4,"QQ,BPV"
29069,8,"WQ,NER"
26167,7,"QQ,BAQ"
14157,3,"QQ,OUU"
93582,3,"Q,IUW"
93582,2,"TT,IUW"
93707,1,"Q,JCR"
44673,4,"SQQ,QCH"
50143,2,"SK,EMK"
93507,2,"Q,CLA"
53012,5,"QQ,AKP"
28072,1,"QQ,YJB"
48148,12,"SQ,WMN"
53012,7,"KK,AKQ"
05432,11,"SK,EOV"
98196,2,"Q,CFM"
03117,7,"SQQ,AHE"
05619,3,"QQ,SHH"
05619,2,"K,MCI"
21009,8,"SQ,WZI"
26084,5,"SK,FDE"
05398,8,"K,RIZ"
98254,3,"K,CSX"
98254,6,"K,SEK"
93556,7,"D,GWH"
83857,6,"T,SNN"
41087,2,"QQ,HNA"
92613,1,"T,YVF"
05605,2,"Q,HDN"
05605,1,"QQ,HDN"
05605,3,"K,GMH"
99811,7,"Q,PAR"
99811,8,"Q,QRW"
05522,6,"K,BJP"
34053,4,"K,IIZ"
66105,1,"K,UKA"
83375,2,"D,WNR"
66105,4,"K,NMD"
93654,6,"T,AJT"
10385,4,"K,BJP"
98282,3,"Q,CSG"
83375,8,"D,AUV"
98212,5,"K,WYN"
25103,1,"K,YJB"
25103,2,"QQ,YJB"
33150,6,"Q,BAQ"
83796,4,"TTT,FYN"
06167,8,"DD,BOX"
06167,4,"DD,BOY"
44413,5,"K,BAQ"
25077,2,"QQ,WNF"
45096,10,"WK,BAQ"
25077,3,"K,WNJ"
51054,3,"QQ,KHC"
41087,7,"QQ,BAQ"
31012,2,"DD,NIH"
92941,1,"D,WRF"
92941,5,"KT,DBB"
24107,11,"K,XJU"
47132,5,"DD,VAG"
93854,2,"K,UGV"
93799,4,"Q,DBH"
39079,1,"QQ,NIH"
99810,3,"D,CDO"
54047,4,"K,ZVU"
54047,8,"QQ,ZXO"
99810,4,"TT,JMG"
99810,6,"D,ZYV"
29047,1,"Q,ABA"
39095,4,"K,FUH"
36108,4,"SQQ,KME"
38169,4,"SQ,AML"
93657,3,"Q,RNB"
44641,3,"QQ,BAQ"
49032,5,"K,BHY"
93790,5,"STT,LQR"
50144,4,"QQ,LVF"
11045,7,"QQ,LBB"
88132,2,"T,NSM"
27080,2,"K,GCP"
93375,5,"T,CFN"
95180,1,"T,BIP"
54062,6,"WQQ,BAM"
84229,3,"D,NXE"
98206,5,"QT,IVT"
05570,7,"WK,BAQ"
92927,7,"TTT,ITB"
93196,2,"Q,CFN"
93196,3,"K,CIX"
83994,1,"D,SNN"
83994,2,"TT,SNN"
83994,3,"DT,FYN"
84229,7,"D,SNN"
84229,8,"DT,FYN"
26150,2,"K,NIH"
26150,3,"SK,EMK"
83994,4,"SD,NSG"
20020,4,"DD,GOD"
84229,9,"K,SNN"
62027,2,"K,WFG"
38169,5,"SK,AML"
83076,3,"Q,NUP"
83076,5,"TT,NUP"
83076,6,"Q,YLX"
83076,7,"Q,NDX"
62027,3,"QQ,WFG"
63011,6,"WDD,CKC"
83076,9,"SD,QIE"
83076,8,"TT,NDX"
83076,10,"D,QID"
83076,4,"Q,NPQ"
62027,10,"SQQ,XLX"
44439,5,"QQ,XYA"
26134,4,"DD,VSX"
44439,8,"QQ,YBJ"
83880,8,"TT,NYV"
54047,5,"K,LWT"
10308,10,"QQ,AIV"
14182,3,"K,BAQ"
93375,4,"Q,DEE"
14213,6,"CQ,NQP"
99519,8,"SK,DNT"
37107,4,"K,BAQ"
05469,4,"K,LAY"
48161,4,"QQ,DNV"
48161,6,"K,DFI"
48161,7,"Q,OCI"
48161,8,"QQ,BAM"
43162,13,"QQT,ETF"
19117,7,"K,EUJ"
41087,1,"Q,HNA"
48161,5,"QQ,ODM"
16108,3,"QQ,YJB"
43134,3,"K,WHR"
05651,7,"K,DUU"
41107,2,"QQ,RSY"
41107,5,"WK,CNC"
91209,8,"K,BAT"
03121,6,"K,CQC"
83857,7,"D,GYJ"
39069,9,"VA,IXL"
17140,3,"SK,EIU"
93559,6,"T,CSX"
06171,7,"K,BPO"
83740,3,"D,LIO"
38083,4,"S23,TCX"
36140,8,"QQ,XYH"
38083,1,"K,EVE"
88154,1,"T,TCG"
88154,2,"TT,TCG"
88154,3,"Q,TCG"
41096,1,"K,GDC"
19120,3,"WK,XNJ"
17118,5,"Q,CQC"
17118,6,"Q,BJP"
37117,6,"SK,GUJ"
37117,7,"K,SJQ"
37117,5,"QQ,CPL"
